repo,tag,title,published_at,kind,is_prerelease,notes_length,url,release_date
duckdb/duckdb,v1.5.0,"DuckDB v1.5.0 ""Variegata""",2026-03-09 12:45:59+00:00,minor,False,43803,https://github.com/duckdb/duckdb/releases/tag/v1.5.0,2026-03-09
pandas-dev/pandas,v3.0.1,pandas 3.0.1,2026-02-18 09:14:27+00:00,patch,False,631,https://github.com/pandas-dev/pandas/releases/tag/v3.0.1,2026-02-18
pandas-dev/pandas,v3.1.0.dev0,v3.1.0.dev0,2026-01-27 11:13:22+00:00,minor,True,16,https://github.com/pandas-dev/pandas/releases/tag/v3.1.0.dev0,2026-01-27
duckdb/duckdb,v1.4.4,v1.4.4 Bugfix Release,2026-01-26 12:09:41+00:00,patch,False,6709,https://github.com/duckdb/duckdb/releases/tag/v1.4.4,2026-01-26
pandas-dev/pandas,v3.0.0,pandas 3.0.0,2026-01-22 10:37:30+00:00,major,False,1173,https://github.com/pandas-dev/pandas/releases/tag/v3.0.0,2026-01-22
pandas-dev/pandas,v3.0.0rc2,Pandas 3.0.0rc2,2026-01-15 07:22:32+00:00,major,True,11,https://github.com/pandas-dev/pandas/releases/tag/v3.0.0rc2,2026-01-15
pandas-dev/pandas,v3.0.0rc1,Pandas 3.0.0rc1,2025-12-19 22:32:55+00:00,major,True,11,https://github.com/pandas-dev/pandas/releases/tag/v3.0.0rc1,2025-12-19
scikit-learn/scikit-learn,1.8.0,Release 1.8.0,2025-12-10 13:32:02+00:00,minor,False,554,https://github.com/scikit-learn/scikit-learn/releases/tag/1.8.0,2025-12-10
duckdb/duckdb,v1.4.3,v1.4.3 Bugfix Release,2025-12-09 10:21:58+00:00,patch,False,5536,https://github.com/duckdb/duckdb/releases/tag/v1.4.3,2025-12-09
pandas-dev/pandas,v3.0.0rc0,Pandas 3.0.0rc0,2025-12-04 16:52:48+00:00,major,True,512,https://github.com/pandas-dev/pandas/releases/tag/v3.0.0rc0,2025-12-04
scikit-learn/scikit-learn,1.8.0rc1,1.8.0rc1,2025-11-26 10:28:52+00:00,minor,True,21,https://github.com/scikit-learn/scikit-learn/releases/tag/1.8.0rc1,2025-11-26
duckdb/duckdb,v1.4.2,v1.4.2 Bugfix Release,2025-11-12 13:12:29+00:00,patch,False,7582,https://github.com/duckdb/duckdb/releases/tag/v1.4.2,2025-11-12
scikit-learn/scikit-learn,1.7.2,Scikit-learn 1.7.2,2025-09-09 08:57:24+00:00,patch,False,458,https://github.com/scikit-learn/scikit-learn/releases/tag/1.7.2,2025-09-09
scikit-learn/scikit-learn,1.7.1,Scikit-learn 1.7.1,2025-07-18 09:24:49+00:00,patch,False,440,https://github.com/scikit-learn/scikit-learn/releases/tag/1.7.1,2025-07-18
scikit-learn/scikit-learn,1.7.0,Scikit-learn 1.7.0,2025-06-06 08:24:16+00:00,minor,False,570,https://github.com/scikit-learn/scikit-learn/releases/tag/1.7.0,2025-06-06
scikit-learn/scikit-learn,1.7.0rc1,1.7.0rc1,2025-05-09 13:47:53+00:00,minor,True,21,https://github.com/scikit-learn/scikit-learn/releases/tag/1.7.0rc1,2025-05-09
scikit-learn/scikit-learn,1.6.1,Scikit-learn 1.6.1,2025-01-10 10:51:11+00:00,patch,False,440,https://github.com/scikit-learn/scikit-learn/releases/tag/1.6.1,2025-01-10
scikit-learn/scikit-learn,1.6.0,Scikit-learn 1.6.0,2024-12-09 18:30:05+00:00,minor,False,569,https://github.com/scikit-learn/scikit-learn/releases/tag/1.6.0,2024-12-09
